"store.number","annual.profit","lci","nearcomp","nearmil","freestand","gini","housemed","state","sqft","intersect","pop","agemed","non.us.citizen","agg.inc","med.inc","noHS","HS","some.col","col.grad","post.grad","com0","com15","com30","com60","drive","public","walk","home","other"
1,414343.2017,5.989972779,2,5.3,0,0.3889,951.0617589,"AZ",292,1,1951,48.5,0.130256079,42556953.39,51470.4,0.153041961,0.267690254,0.171562083,0.235476063,0.17222964,0.119605425,0.268803946,0.32675709,0.284833539,0.728091236,0.173469388,0.038415366,0.026410564,0.033613445
2,514643.9619,8.0575668,6,13.1,0,0.2434,778.0847317,"AZ",399,1,3369,29,0.355224507,71256941.54,34083.2,0.203410991,0.371129109,0.355407337,0.039561853,0.03049071,0.03968254,0.302248677,0.461640212,0.196428571,0.759522272,0.193996127,0.007101356,0.023886378,0.015493867
3,443096.4316,6.267259179,0,30.2,0,0.3179,844.5556139,"AZ",666,1,3301,37.5,0.061445944,97667500.29,33772.8,0.118452457,0.333839727,0.213824535,0.215767064,0.118116217,0.288715486,0.393157263,0.254501801,0.06362545,0.849283668,0.071060172,0.020057307,0.045272206,0.014326648
4,495031.1367,8.566326315,0,29.4,0,0.4132,1420.138726,"AZ",862,1,1797,33.5,0.270736583,55558839.18,59000,0.140203538,0.276003276,0.326781327,0.136618739,0.12039312,0.092964824,0.155778894,0.360552764,0.390703518,0.625774473,0.327137546,0.013630731,0.013630731,0.019826518
5,962170.0304,4.07784051,6,10.1,0,0.4911,1164.426764,"AZ",724,1,4178,39,0.375642347,133634294.2,38687.2,0.147936366,0.333428571,0.146,0.25977792,0.112857143,0.032061913,0.219458264,0.321171918,0.427307905,0.631795717,0.326468973,0.02306425,0.006589786,0.012081274
6,817722.2479,7.847130781,3,27,0,0.525,1654.747186,"AZ",678,0,1576,47,0.150153835,85933835.64,77612.8,0.004224841,0.131509267,0.105913504,0.338352387,0.42,0.090076336,0.189312977,0.567938931,0.152671756,0.593150685,0.197260274,0.106849315,0.102739726,0
7,700517.7276,4.142159588,0,11.4,0,0.6332,1562.144338,"AZ",637,1,5249,43,0.073188968,163768800,88376.8,0.054427266,0.237235543,0.291396333,0.233019842,0.183921016,0.151445087,0.297109827,0.303660886,0.2477842,0.940209268,0.025784753,0.003736921,0.030269058,0
8,407650.8261,9.200391246,6,4.2,0,0.2771,1870.947521,"NM",659,1,1736,30.5,0.434614411,40639969.16,60420,0.068341727,0.208877285,0.363794604,0.296323199,0.062663185,0.09352518,0.278177458,0.502398082,0.125899281,0.946642686,0.03177458,0.013189448,0,0.008393285
9,326126.9981,7.462039019,6,13.2,0,0.6251,414.8224581,"CA",547,0,1290,33.5,0.150857716,25348868.57,22314.4,0.31674669,0.335123523,0.323308271,0.019450947,0.005370569,0.275132275,0.5,0.201058201,0.023809524,0.791005291,0.156084656,0.023809524,0,0.029100529
10,647758.3301,7.251099453,0,17,0,0.2847,1453.906645,"CA",794,1,3474,38,0.143992817,130912230.9,68283.2,0.123224983,0.283546326,0.283945687,0.199858084,0.10942492,0.261702128,0.396276596,0.269680851,0.072340426,0.944415449,0.024269311,0.012526096,0.018789144,0
11,397526.568,6.538459323,1,7.7,0,0.92,885.4981116,"NM",478,1,1977,47.5,0.097133683,57736812.77,64318.4,0.070115508,0.38381201,0.347258486,0.138109035,0.060704961,0.057239057,0.263748597,0.537598204,0.141414141,0.842077088,0.100107066,0.011777302,0.046038544,0
12,622327.6041,8.02367657,4,0.1,0,0.6101,1260.106923,"NM",679,1,2715,37,0.166909815,95231954.72,76850.4,0.069851728,0.216161616,0.271212121,0.23873413,0.204040404,0.197328476,0.227686703,0.401335762,0.173649059,0.897833724,0.034836066,0.031615925,0.035714286,0
13,3293558.681,3.014712216,0,1.3,0,0.6849,1510.790873,"AZ",2084,1,9975,42,0.2154133,880636265.1,79917.6,0.03858003,0.036581273,0.11466607,0.689092126,0.121080501,0.10310363,0.310012274,0.546905138,0.039978958,0.417778139,0.317420299,0.14964216,0.072381262,0.042778139
14,982777.0878,7.452107051,0,16.6,0,0.5041,1953.642995,"NV",921,1,5423,45.5,0.053707527,251019824,88549.6,0.028010273,0.171442448,0.247935891,0.371698323,0.180913065,0.134996332,0.305209098,0.430667645,0.129126926,0.865082139,0.026913667,0.013981125,0.047186298,0.04683677
15,914403.0109,8.033262712,4,13.6,0,0.5503,1009.808658,"OK",413,1,7672,43.5,0.030651298,165286163.9,46815.2,0.054873061,0.356337547,0.297061838,0.22151915,0.070208405,0.091928798,0.365520605,0.487198244,0.055352353,0.914234396,0,0,0.079254603,0.006511001
16,1002564.98,6.859052516,2,38,0,0.62,1663.719265,"AZ",588,0,3723,40,0.234225853,108783302.2,68944.8,0.03363291,0.266666667,0.206746032,0.262398836,0.230555556,0.299410819,0.308516336,0.202463846,0.189608998,0.754439371,0.120750888,0.062404871,0.052765094,0.009639777
17,843532.4399,7.958351528,0,22.6,0,0.4122,1103.861477,"KS",754,1,5036,42.5,0.118795434,196727524.8,50060.8,0.064523282,0.275329281,0.276595745,0.24069455,0.142857143,0.357651849,0.377332881,0.19239905,0.07261622,0.926259593,0.028361695,0.008341675,0.01668335,0.020353687
18,1132985.347,9.162969135,4,23.3,0,0.491,1424.356443,"AZ",1062,0,6995,41.5,0.315120454,133311501.9,37781.6,0.234298973,0.23047234,0.268884396,0.164892353,0.101451939,0.126174879,0.130731985,0.278837938,0.464255198,0.542484539,0.303710675,0.094649099,0.055929013,0.003226674
19,582849.1294,8.913619161,3,9.8,0,0.4196,1196.451144,"TX",547,1,2386,32.5,0.504615239,70426875.62,37544,0.24488398,0.205449591,0.16239782,0.264652805,0.122615804,0.206231454,0.314540059,0.402818991,0.076409496,0.627675277,0.1,0.198523985,0.005166052,0.068634686
20,1233728.773,8.319920019,5,48.4,1,0.457,733.8169972,"AZ",421,0,6472,45,0.162000032,103760071.8,30117.6,0.13450896,0.258652095,0.377251569,0.141143742,0.088443635,0.056594724,0.396642686,0.376978417,0.169784173,0.537889688,0.367146283,0.067625899,0,0.027338129
21,383766.1135,9.009682729,2,11.7,0,0.559,736.1599818,"UT",457,1,1155,39.5,0.053920796,27811080,33792,0.147204598,0.411899314,0.314645309,0.041582587,0.084668192,0.037623762,0.322772277,0.562376238,0.077227723,0.703960396,0.232673267,0.033663366,0,0.02970297
22,443970.8874,6.467194767,2,3.9,0,0.5521,971.7961433,"TX",217,0,3263,42,0.098674422,50245849.33,38822.4,0.166816346,0.345362988,0.347880822,0.103431241,0.036508603,0.363391655,0.236204576,0.213324361,0.187079408,0.948298429,0,0.015052356,0.027486911,0.009162304
23,1499424.654,6.587716864,1,11.9,0,0.6117,3021.067196,"CA",619,0,5433,40.5,0.157294552,338259677.6,162833.6,0.103587515,0.045373134,0.129253731,0.563576664,0.158208955,0.252699784,0.163714903,0.357667387,0.225917927,0.824733825,0.07985258,0.020884521,0.052006552,0.022522523
24,1338805.754,6.37432336,3,3,0,0.6176,3668.943949,"AZ",407,1,3264,32,0.154387716,387673051.4,200000.8,0.023682652,0.051296505,0.11048478,0.426373718,0.388162345,0.149875104,0.129059117,0.512073272,0.208992506,0.644624903,0.229311678,0.033255994,0.071152359,0.021655066
25,1084056.043,6.926259431,1,15.4,1,0.3075,1226.178009,"CA",840,1,6290,32,0.374670761,127199928.2,37075.2,0.17642778,0.279058116,0.28006012,0.215606288,0.048847695,0.148161901,0.211659859,0.492016339,0.148161901,0.708120903,0.17789512,0.054260743,0.019300801,0.040422433
26,462295.4351,5.557562286,3,1.4,0,0.4837,862.6069683,"TX",264,0,3223,39.5,0.270813363,86490392.42,44692,0.05565471,0.422114609,0.225585149,0.207057154,0.089588378,0.305175491,0.279000595,0.346222487,0.069601428,0.920961204,0.016502606,0.022003474,0.026635785,0.013896931
27,441957.3443,9.452063656,3,15.5,0,0.5795,586.9349563,"CA",649,1,3143,41.5,0.10594196,47325914.15,36773.6,0.207638749,0.37757732,0.330756014,0.062550254,0.021477663,0.150194553,0.337743191,0.404669261,0.107392996,0.964837713,0.015842349,0.01236476,0.006955178,0
